1 mile;5 km;10 km;Half Marathon;Marathon;VO2
00:04:12;00:14:24;00:30:00;01:05:54;02:18:03;73
00:04:21;00:14:53;00:31:00;01:08:06;02:22:39;70
00:04:29;00:15:22;00:32:00;01:10:19;02:27:16;67
00:04:38;00:15:51;00:33:00;01:12:31;02:31:53;65
00:04:46;00:16:20;00:34:00;01:14:43;02:36:29;63
00:04:55;00:16:49;00:35:00;01:16:56;02:41:05;61
00:05:03;00:17:18;00:36:00;01:19:08;02:45:41;59
00:05:12;00:17:47;00:37:00;01:21:21;02:50:17;57
00:05:21;00:18:16;00:38:00;01:23:33;02:54:53;55
00:05:29;00:18:45;00:39:00;01:25:45;02:59:28;54
00:05:38;00:19:13;00:40:00;01:27:58;03:04:03;52
00:05:46;00:19:42;00:41:00;01:30:10;03:08:38;50
00:05:55;00:20:11;00:42:00;01:32:23;03:13:13;49
00:06:03;00:20:40;00:43:00;01:34:35;03:17:48;48
00:06:12;00:21:09;00:44:00;01:36:47;03:22:23;46
00:06:20;00:21:38;00:45:00;01:38:59;03:26:57;45
00:06:29;00:22:06;00:46:00;01:41:12;03:31:31;44
00:06:37;00:22:35;00:47:00;01:43:24;03:36:05;43
00:06:46;00:23:04;00:48:00;01:45:36;03:40:39;42
00:06:54;00:23:33;00:49:00;01:47:48;03:45:12;41
00:07:03;00:24:02;00:50:00;01:50:00;03:49:46;40
00:07:12;00:24:30;00:51:00;01:52:12;03:54:19;39
00:07:20;00:24:59;00:52:00;01:54:24;03:58:52;38
00:07:29;00:25:28;00:53:00;01:56:36;04:03:25;37
00:07:37;00:25:57;00:54:00;01:58:48;04:07:58;37
00:07:46;00:26:25;00:55:00;02:01:00;04:12:31;36
00:07:54;00:26:54;00:56:00;02:03:12;04:17:03;35
00:08:03;00:27:23;00:57:00;02:05:23;04:21:35;34
00:08:11;00:27:52;00:58:00;02:07:35;04:26:07;34
00:08:20;00:28:20;00:59:00;02:09:47;04:30:39;33
00:08:29;00:28:49;00:60:00;02:11:59;04:35:11;32
00:08:37;00:29:18;01:01:00;02:14:10;04:39:43;32
00:08:46;00:29:47;01:02:00;02:16:22;04:44:15;31
00:08:54;00:30:15;01:03:00;02:18:33;04:48:46;30
00:09:03;00:30:44;01:04:00;02:20:45;04:53:17;30
00:09:11;00:31:13;01:05:00;02:22:56;04:57:49;29
00:09:20;00:31:41;01:06:00;02:25:08;05:02:20;29
00:09:29;00:32:10;01:07:00;02:27:19;05:06:51;28
00:09:37;00:32:39;01:08:00;02:29:30;05:11:22;28
00:09:46;00:33:08;01:09:00;02:31:42;05:15:52;27
00:09:54;00:33:36;01:10:00;02:33:53;05:20:23;27
00:10:03;00:34:05;01:11:00;02:36:04;05:24:54;26
00:10:11;00:34:34;01:12:00;02:38:15;05:29:24;26
00:10:20;00:35:03;01:13:00;02:40:26;05:33:54;26
00:10:29;00:35:31;01:14:00;02:42:37;05:38:25;25
00:10:37;00:36:00;01:15:00;02:44:48;05:42:55;25
00:10:46;00:36:29;01:16:00;02:46:59;05:47:25;24
00:10:54;00:36:58;01:17:00;02:49:10;05:51:55;24
00:11:03;00:37:26;01:18:00;02:51:21;05:56:25;24
00:11:11;00:37:55;01:19:00;02:53:32;06:00:55;23
